number_of_authors,age,number_unique_changes,size,lines_added,lines_deleted,buggy,id
3,437590,5,83,4,4,0,184
3,437590,6,233,4,4,0,400
3,437590,5,82,4,4,0,198
2,437590,5,91,7,7,0,34
3,437590,6,83,4,4,0,18
2,437590,3,145,7,7,0,297
2,437590,16,416,7,7,0,263
3,437590,18,365,4,4,0,71
3,437590,4,83,4,4,0,476
3,437590,9,207,4,4,0,282
4,85376,14,984,4,4,0,164
2,437590,12,218,8,8,0,119
4,205652,19,320,13,58,0,48
4,205652,5,38,13,58,0,467
5,205652,15,939,13,58,0,130
3,205652,14,307,14,59,0,415
3,205652,13,173,14,59,0,107
4,205652,5,36,13,58,0,333
4,205652,7,38,13,58,0,7
3,205652,17,371,13,58,0,246
5,205652,21,260,13,58,0,301
4,205652,7,188,13,58,0,388
4,205652,22,603,13,58,0,206
3,205652,5,66,13,58,0,482
5,205652,8,257,13,58,0,443
3,205652,4,100,13,58,0,288
4,205652,6,38,13,58,0,173
3,205652,8,90,13,58,0,78
4,205652,6,37,13,58,0,187
3,205652,6,46,13,58,0,26
4,205652,10,162,13,58,0,269
3,205652,14,416,14,59,0,350
5,37624,8,188,1,1,0,406
5,39085,9,188,5,5,1,396
6,76710,9,257,5,5,1,451
1,0,1,216,215,0,1,711
1,0,1,214,213,0,1,904
1,0,1,65,64,0,1,534
4,76710,5,100,5,5,1,295
1,0,1,220,219,0,1,615
4,76710,7,46,5,5,1,31
1,0,1,60,59,0,1,582
6,76710,16,918,13,34,1,150
5,76710,6,36,5,5,1,339
1,0,1,103,102,0,1,792
1,0,1,188,187,0,1,552
1,0,1,172,171,0,1,663
1,0,1,97,96,0,1,510
1,0,1,260,259,0,1,594
1,0,1,232,231,0,1,753
1,0,1,181,180,0,1,743
5,76710,8,38,5,5,1,14
1,0,1,155,154,0,1,697
4,76710,15,416,7,7,1,365
1,0,1,170,169,0,1,688
1,0,1,63,62,0,1,961
4,76710,14,173,6,6,1,114
1,0,1,87,86,0,1,920
4,76710,18,371,35,35,1,256
1,0,1,111,110,0,1,564
